*Lisp	C*
Haxe	Python_(programming_language)
Haxe	ECMAScript
Haxe	C_Sharp_(programming_language)
Haxe	C++
Haxe	ActionScript
Haxe	JavaScript
Hy	Clojure
Hy	Common_Lisp
Hy	Kawa_(Scheme_implementation)
HyperTalk	Natural_language_programming
HyperTalk	Pascal_(programming_language)
IMP_(programming_language)	ALGOL_60
ISLISP	Common_Lisp
ISLISP	EuLisp
ISLISP	Le_Lisp
ISLISP	Scheme_(programming_language)
ISWIM	Lisp_(programming_language)
ISWIM	ALGOL_60
Icon_(programming_language)	ALGOL
Icon_(programming_language)	SNOBOL
Idris_(programming_language)	Agda_(programming_language)
Idris_(programming_language)	Clean_(programming_language)
Idris_(programming_language)	Coq
Idris_(programming_language)	Epigram_(programming_language)
Idris_(programming_language)	F_Sharp_(programming_language)
Idris_(programming_language)	Haskell
Idris_(programming_language)	ML_(programming_language)
Idris_(programming_language)	Rust_(programming_language)
Interlisp	BBN_LISP
Interlisp	Lisp_(programming_language)
Io_(programming_language)	Smalltalk
Io_(programming_language)	Python_(programming_language)
Io_(programming_language)	NewtonScript
Io_(programming_language)	Self_(programming_language)
Io_(programming_language)	Lisp_(programming_language)
Io_(programming_language)	Actor_model_middle_history#Actor_programming_languages
Io_(programming_language)	Lua_(programming_language)
JOVIAL	ALGOL
JOVIAL	Semi-Automatic_Ground_Environment
JS++	C++
JS++	C_(programming_language)
JS++	C_Sharp_(programming_language)
JS++	JavaScript
JS++	Java_(programming_language)
J_(programming_language)	APL_(programming_language)
Jakarta_Persistence_Query_Language	SQL
Jakarta_Persistence_Query_Language	Hibernate_(framework)
JavaScript	AWK
JavaScript	HyperTalk
JavaScript	Java_(programming_language)
JavaScript	Scheme_(programming_language)
JavaScript	Self_(programming_language)
Java_(programming_language)	Smalltalk
Java_(programming_language)	UCSD_Pascal
Java_(programming_language)	Objective-C
Java_(programming_language)	Object_Pascal
Java_(programming_language)	Oberon_(programming_language)
Java_(programming_language)	Modula-3
Java_(programming_language)	Simula
Java_(programming_language)	Lisp_(programming_language)
Java_(programming_language)	Eiffel_(programming_language)
Java_(programming_language)	C_Sharp_(programming_language)
Java_(programming_language)	CLU_(programming_language)
Java_(programming_language)	C++
Java_(programming_language)	Ada_(programming_language)
Java_(programming_language)	Mesa_(programming_language)
Joule_(programming_language)	Logic_Programming#Concurrent_logic_programming
Joule_(programming_language)	Actor_model
Joy_(programming_language)	FP_(programming_language)
Joy_(programming_language)	Forth_(programming_language)
Joy_(programming_language)	Scheme_(programming_language)
Julia_(programming_language)	Wolfram_Mathematica
Julia_(programming_language)	Wolfram_Language
Julia_(programming_language)	Scheme_(programming_language)
Julia_(programming_language)	Ruby_(programming_language)
Julia_(programming_language)	R_(programming_language)
Julia_(programming_language)	Python_(programming_language)
Julia_(programming_language)	MATLAB
Julia_(programming_language)	Lua_(programming_language)
Julia_(programming_language)	Lisp_(programming_language)
Julia_(programming_language)	Dylan_(programming_language)
Julia_(programming_language)	C_(programming_language)
Julia_(programming_language)	Perl
K_(programming_language)	A+_(programming_language)
K_(programming_language)	APL_(programming_language)
K_(programming_language)	Scheme_(programming_language)
Kawa_(Scheme_implementation)	Lisp_(programming_language)
Kawa_(Scheme_implementation)	Scheme_(programming_language)
Kent_Recursive_Calculator	SASL_(programming_language)
Kotlin_(programming_language)	ML_(programming_language)
Kotlin_(programming_language)	Scala_(programming_language)
Kotlin_(programming_language)	Python_(programming_language)
Kotlin_(programming_language)	Java_(programming_language)
Kotlin_(programming_language)	Apache_Groovy
Kotlin_(programming_language)	Gosu_(programming_language)
Kotlin_(programming_language)	C_Sharp_(programming_language)
Kotlin_(programming_language)	JavaScript
Kotlin_(programming_language)	Eiffel_(programming_language)
LFE_(programming_language)	Clojure
LFE_(programming_language)	Common_Lisp
LFE_(programming_language)	Elixir_(programming_language)
LFE_(programming_language)	Erlang_(programming_language)
LFE_(programming_language)	Hy
LFE_(programming_language)	Maclisp
LFE_(programming_language)	Scheme_(programming_language)
Language_Integrated_Query	Haskell
Language_Integrated_Query	SQL
Lasso_(programming_language)	Dylan_(programming_language)
Lasso_(programming_language)	Scala_(programming_language)
Lasso_(programming_language)	Smalltalk
Le_Lisp	Lisp_(programming_language)
Lean_(proof_assistant)	Coq
Lean_(proof_assistant)	Haskell
Lean_(proof_assistant)	ML_(programming_language)
Limbo_(programming_language)	Alef_(programming_language)
Limbo_(programming_language)	C_(programming_language)
Limbo_(programming_language)	Communicating_sequential_processes
Limbo_(programming_language)	Newsqueak
Limbo_(programming_language)	Pascal_(programming_language)
Lisp_(programming_language)	Information_Processing_Language
Lisp_Machine_Lisp	Interlisp
Lisp_Machine_Lisp	Lisp_(programming_language)
Lisp_Machine_Lisp	Maclisp
LiveScript_(programming_language)	JavaScript
LiveScript_(programming_language)	F_Sharp_(programming_language)
LiveScript_(programming_language)	CoffeeScript
LiveScript_(programming_language)	Haskell
Logo_(programming_language)	Lisp_(programming_language)
Logtalk	Objective-C
Logtalk	Prolog
Logtalk	Smalltalk
Lua_(programming_language)	C++
Lua_(programming_language)	CLU_(programming_language)
Lua_(programming_language)	Modula-2
Lua_(programming_language)	SNOBOL
Lua_(programming_language)	Scheme_(programming_language)
Lucid_(programming_language)	ISWIM
MATH-MATIC	FLOW-MATIC
MATLAB	Speakeasy_(computational_environment)
MATLAB	PL/0
MATLAB	APL_(programming_language)
MATLAB	EISPACK
MATLAB	LINPACK
ML_(programming_language)	ISWIM
MSX_BASIC	GW-BASIC
MUMPS	JOSS
Mary_(programming_language)	ALGOL_68
Mercury_(programming_language)	Hope_(programming_language)
Mercury_(programming_language)	Prolog
Mercury_(programming_language)	Haskell
Mesa_(programming_language)	ALGOL
Microsoft_Power_Fx	Wolfram_Mathematica
Microsoft_Power_Fx	Pascal_(programming_language)
Microsoft_Power_Fx	Miranda_(programming_language)
Microsoft_Power_Fx	Microsoft_Excel
Microsoft_Small_Basic	Logo_(programming_language)
Microsoft_Small_Basic	QBasic
Microsoft_Small_Basic	Visual_Basic_.NET
Mirah_(programming_language)	Boo_(programming_language)
Mirah_(programming_language)	Java_(programming_language)
Mirah_(programming_language)	Ruby_(programming_language)
Miranda_(programming_language)	Hope_(programming_language)
Miranda_(programming_language)	Kent_Recursive_Calculator
Miranda_(programming_language)	ML_(programming_language)
Miranda_(programming_language)	SASL_(programming_language)
Modula	Pascal_(programming_language)
Modula-2	Pascal_(programming_language)
Modula-2	Modula
Modula-2	Euclid_(programming_language)
Modula-2	ALGOL_W
Modula-2	Mesa_(programming_language)
Modula-2+	ALGOL
Modula-2+	Modula-2
Modula-2+	Pascal_(programming_language)
Modula-3	Oberon_(programming_language)
Modula-3	ALGOL
Modula-3	Euclid_(programming_language)
Modula-3	Mesa_(programming_language)
Modula-3	Modula-2
Modula-3	Modula-2+
Modula-3	Pascal_(programming_language)
NEWP	Executive_Systems_Problem_Oriented_Language
NEWP	ALGOL
Nemerle	C_Sharp_(programming_language)
Nemerle	Lisp_(programming_language)
Nemerle	ML_(programming_language)
NetLogo	Logo_(programming_language)
NetLogo	StarLogo
NetRexx	Java_(programming_language)
NetRexx	Object_REXX
NetRexx	PL/I
NetRexx	Rexx
Newspeak_(programming_language)	Smalltalk
Newspeak_(programming_language)	Self_(programming_language)
Newspeak_(programming_language)	E_(programming_language)
Newspeak_(programming_language)	BETA_(programming_language)
Newspeak_(programming_language)	Nineteen_Eighty-Four
Newsqueak	C_(programming_language)
Newsqueak	Communicating_sequential_processes
NewtonScript	Dylan_(programming_language)
NewtonScript	Self_(programming_language)
Nial	APL_(programming_language)
Nial	Lisp_(programming_language)
Nim_(programming_language)	Object_Pascal
Nim_(programming_language)	Python_(programming_language)
Nim_(programming_language)	Oberon_(programming_language)
Nim_(programming_language)	Rust_(programming_language)
Nim_(programming_language)	Lisp_(programming_language)
Nim_(programming_language)	C++
Nim_(programming_language)	Ada_(programming_language)
Nim_(programming_language)	Modula-3
Nu_(programming_language)	Ruby_(programming_language)
Nu_(programming_language)	Lisp_(programming_language)
Nu_(programming_language)	Objective-C
OCaml	C_(programming_language)
OCaml	Caml
OCaml	Modula-3
OCaml	Pascal_(programming_language)
OCaml	Standard_ML
Oaklisp	Scheme_(programming_language)
Oaklisp	Smalltalk
Oaklisp	T_(programming_language)
Oberon-2	Modula-2
Oberon-2	Oberon_(programming_language)
Oberon-2	Object_Oberon
Oberon_(programming_language)	Modula-2
Object_Oberon	Oberon_(programming_language)
Object_Oberon	Modula-2
Object_Pascal	Pascal_(programming_language)
Object_Pascal	Simula
Object_Pascal	Smalltalk
Object_REXX	Rexx
Object_REXX	Smalltalk
Objective-C	C_(programming_language)
Objective-C	Smalltalk
Occam_(programming_language)	Communicating_sequential_processes
Opa_(programming_language)	Erlang_(programming_language)
Opa_(programming_language)	JavaScript
Opa_(programming_language)	OCaml
OpenLisp	ISLISP
OpenLisp	Lisp_(programming_language)
Orwell_(programming_language)	Miranda_(programming_language)
Oxygene_(programming_language)	Object_Pascal
Oxygene_(programming_language)	Delphi_(Programming_Language)
Oxygene_(programming_language)	C_Sharp_(programming_language)
Oz_(programming_language)	Erlang_(programming_language)
Oz_(programming_language)	Lisp_(programming_language)
Oz_(programming_language)	Prolog
PHP	Wikipedia:Citation_needed
PHP	Tcl
PHP	Java_(programming_language)
PHP	JavaScript
PHP	Perl
PHP	HTML
PHP	C_(programming_language)
PHP	C++
PHP	Hack_(programming_language)
PL/I	ALGOL_60
PL/I	COBOL
PL/I	Fortran
PL/M	ALGOL
PL/M	PL/I
PL/M	XPL
PL/pgSQL	PL/SQL
PL/pgSQL	Ada_(programming_language)
ParaSail_(programming_language)	ML_(programming_language)
ParaSail_(programming_language)	Modula
ParaSail_(programming_language)	Ada_(programming_language)
ParaSail_(programming_language)	Pascal_(programming_language)
Pascal_(programming_language)	Simula
Pascal_(programming_language)	ALGOL_W
Perl	Unix_shell
Perl	Sed
Perl	Lisp_(programming_language)
Perl	AWK
Perl	C++
Perl	C_(programming_language)
Perl	BASIC
Pizza_(programming_language)	Java_(programming_language)
Plankalkül	Begriffsschrift
Polyphonic_C_Sharp	C_Sharp_(programming_language)
Polyphonic_C_Sharp	Join_calculus
PostScript	Interpress
PostScript	Lisp_(programming_language)
PostScript	Mesa_(programming_language)
PowerShell	Perl
PowerShell	Tk_(software)
PowerShell	Tcl
PowerShell	SQL
PowerShell	Python_(programming_language)
PowerShell	Puppet_(software)
PowerShell	KornShell
PowerShell	DIGITAL_Command_Language
PowerShell	Control_Language
PowerShell	C_Sharp_(programming_language)
PowerShell	Progress_Chef
Profile_Scripting_Language	MUMPS
Programming_Language_for_Business	COBOL
Project_Verona	Cyclone_(programming_language)
Project_Verona	Rust_(programming_language)
Prolog	Planner_(programming_language)
PureScript	JavaScript
PureScript	Haskell
Pyomo	AMPL
Pyomo	General_algebraic_modeling_system
Pyomo	Python_(programming_language)
Python_(programming_language)	Standard_ML
Python_(programming_language)	Perl
Python_(programming_language)	Modula-3
Python_(programming_language)	Lisp_(programming_language)
Python_(programming_language)	Haskell
Python_(programming_language)	Dylan_(programming_language)
Python_(programming_language)	Icon_(programming_language)
Python_(programming_language)	CLU_(programming_language)
Python_(programming_language)	C++
Python_(programming_language)	Ada_(programming_language)
Python_(programming_language)	APL_(programming_language)
Python_(programming_language)	ALGOL_68
Python_(programming_language)	ABC_(programming_language)
Python_(programming_language)	C_(programming_language)
QB64	QBasic
QB64	QuickBASIC
QBasic	GW-BASIC
QBasic	QuickBASIC
QML	JavaScript
QML	Extensible_Application_Markup_Language
QML	JSON
QML	Qt_(software)
Q_(programming_language_from_Kx_Systems)	Scheme_(programming_language)
Q_(programming_language_from_Kx_Systems)	K_(programming_language)
Q_(programming_language_from_Kx_Systems)	A+_(programming_language)
Q_(programming_language_from_Kx_Systems)	APL_(programming_language)
Qore_(programming_language)	C++
Qore_(programming_language)	D_(programming_language)
Qore_(programming_language)	Java_(programming_language)
Qore_(programming_language)	Perl
RPL_(programming_language)	Forth_(programming_language)
RPL_(programming_language)	Lisp_(programming_language)
RPL_(programming_language)	Reverse_Polish_Notation
R_(programming_language)	Lisp_(programming_language)
R_(programming_language)	S_(programming_language)
R_(programming_language)	Scheme_(programming_language)
Racket_(programming_language)	Eiffel_(programming_language)
Racket_(programming_language)	Scheme_(programming_language)
Raku_(programming_language)	Smalltalk
Raku_(programming_language)	Ruby_(programming_language)
Raku_(programming_language)	JavaScript
Raku_(programming_language)	Haskell
Raku_(programming_language)	Perl
Ratfor	C_(programming_language)
Ratfor	Fortran
Rebol	Forth_(programming_language)
Rebol	Lisp_(programming_language)
Rebol	Logo_(programming_language)
Rebol	Self_(programming_language)
Red_(programming_language)	Lua_(programming_language)
Red_(programming_language)	Rebol
Red_(programming_language)	Scala_(programming_language)
Rexx	PL/I
Rexx	EXEC_2
Rexx	CMS_EXEC
Rexx	ALGOL
Ring_(programming_language)	BASIC
Ring_(programming_language)	C_(programming_language)
Ring_(programming_language)	C_Sharp_(programming_language)
Ring_(programming_language)	Lua_(programming_language)
Ring_(programming_language)	Python_(programming_language)
Ring_(programming_language)	QML
Ring_(programming_language)	Ruby_(programming_language)
Ring_(programming_language)	XBase
Ruby_(programming_language)	Smalltalk
Ruby_(programming_language)	Python_(programming_language)
Ruby_(programming_language)	Perl
Ruby_(programming_language)	Lua_(programming_language)
Ruby_(programming_language)	Lisp_(programming_language)
Ruby_(programming_language)	Dylan_(programming_language)
Ruby_(programming_language)	CLU_(programming_language)
Ruby_(programming_language)	C++
Ruby_(programming_language)	BASIC
Ruby_(programming_language)	Ada_(programming_language)
Ruby_(programming_language)	Eiffel_(programming_language)
Rust_(programming_language)	Newsqueak
Rust_(programming_language)	Swift_(programming_language)
Rust_(programming_language)	Standard_ML
Rust_(programming_language)	Scheme_(programming_language)
Rust_(programming_language)	Ruby_(programming_language)
Rust_(programming_language)	OCaml
Rust_(programming_language)	Limbo_(programming_language)
Rust_(programming_language)	Erlang_(programming_language)
Rust_(programming_language)	Haskell
Rust_(programming_language)	Cyclone_(programming_language)
Rust_(programming_language)	C_Sharp_(programming_language)
Rust_(programming_language)	C++
Rust_(programming_language)	Alef_(programming_language)
S3_(programming_language)	ALGOL_68
SAC_programming_language	APL_(programming_language)
SAC_programming_language	C_(programming_language)
SAC_programming_language	SISAL
SASL_(programming_language)	ISWIM
SETL	ALGOL_60
SISAL	Pascal_(programming_language)
SISAL	Fortran
SISAL	C_(programming_language)
SNOBOL	COMIT
SP/k	PL/I
SPARK_(programming_language)	Ada_(programming_language)
SPARK_(programming_language)	Eiffel_(programming_language)
SQL	Datalog
SQL/PSM	Ada_(programming_language)
SQL/PSM	PL/SQL
SUPER_BASIC	CAL_(programming_language)
SUPER_BASIC	Dartmouth_BASIC
SUPER_BASIC	JOSS
S_(programming_language)	Polymorphic_Programming_Language
S_(programming_language)	Fortran
S_(programming_language)	C_(programming_language)
S_(programming_language)	APL_(programming_language)
Sather	CLU_(programming_language)
Sather	Common_Lisp
Sather	Eiffel_(programming_language)
Sather	Scheme_(programming_language)
Scala_(programming_language)	Haskell
Scala_(programming_language)	Scheme_(programming_language)
Scala_(programming_language)	Pizza_(programming_language)
Scala_(programming_language)	Oz_(programming_language)
Scala_(programming_language)	OCaml
Scala_(programming_language)	F_Sharp_(programming_language)
Scala_(programming_language)	Smalltalk
Scala_(programming_language)	Erlang_(programming_language)
Scala_(programming_language)	Eiffel_(programming_language)
Scala_(programming_language)	Common_Lisp
Scala_(programming_language)	Java_(programming_language)
Scala_(programming_language)	Standard_ML
Scratch_(programming_language)	Logo_(programming_language)
Scratch_(programming_language)	Smalltalk
Scratch_(programming_language)	HyperCard
Scratch_(programming_language)	StarLogo
Scratch_(programming_language)	AgentSheets
Scratch_(programming_language)	AgentCubes
Scratch_(programming_language)	Etoys_(programming_language)
Sed	Ed_(text_editor)
Seed7	Modula-2
Seed7	Pascal_(programming_language)
Seed7	C_(programming_language)
Seed7	Java_(programming_language)
Seed7	C++
Seed7	Ada_(programming_language)
Seed7	ALGOL_68
Self_(programming_language)	APL_(programming_language)
Self_(programming_language)	Smalltalk
SenseTalk	HyperTalk
Simula	ALGOL_60
Simula	Simscript
Smalltalk	Sketchpad
Smalltalk	Simula
Smalltalk	Planner_(programming_language)
Smalltalk	Logo_(programming_language)
Smalltalk	Lisp_(programming_language)
Smalltalk	IMP_(programming_language)
Smalltalk	Euler_(programming_language)
Smalltalk	Burroughs_large_systems
Smalltalk	ARPANET
Snap!_(programming_language)	Logo_(programming_language)
Snap!_(programming_language)	Scheme_(programming_language)
Snap!_(programming_language)	Scratch_(programming_language)
Snap!_(programming_language)	Smalltalk
Speedcoding	Assembly_language
Speedcoding	Machine_code
Squeak	Sketchpad
Squeak	Simula
Squeak	Smalltalk
Squeak	Logo_(programming_language)
Squeak	Lisp_(programming_language)
Squeak	Self_(programming_language)
Squirrel_(programming_language)	C++
Squirrel_(programming_language)	JavaScript
Squirrel_(programming_language)	Lua_(programming_language)
Squirrel_(programming_language)	Python_(programming_language)
Standard_ML	Pascal_(programming_language)
Standard_ML	ML_(programming_language)
Standard_ML	Hope_(programming_language)
StarLogo	Logo_(programming_language)
Strongtalk	Self_(programming_language)
Strongtalk	Smalltalk
Superplan	Plankalkül
Swift_(programming_language)	Ruby_(programming_language)
Swift_(programming_language)	Rust_(programming_language)
Swift_(programming_language)	Python_(programming_language)
Swift_(programming_language)	Objective-C
Swift_(programming_language)	C_Sharp_(programming_language)
Swift_(programming_language)	D_(programming_language)
Swift_(programming_language)	CLU_(programming_language)
Swift_(programming_language)	Haskell
SystemVerilog	C++
SystemVerilog	Java_(programming_language)
SystemVerilog	OpenVera
SystemVerilog	VHDL
SystemVerilog	Verilog
TELCOMP	JOSS
T_(programming_language)	Scheme_(programming_language)
Tcl	Lisp_(programming_language)
Tcl	AWK
Tea_(programming_language)	Tcl
Tea_(programming_language)	Java_(programming_language)
Tea_(programming_language)	Scheme_(programming_language)
Turing_(programming_language)	Euclid_(programming_language)
Turing_(programming_language)	Pascal_(programming_language)
Turing_(programming_language)	SP/k
Turtlestitch	Logo_(programming_language)
Turtlestitch	Maker_culture
Turtlestitch	Scratch_(programming_language)
Turtlestitch	Snap!_(programming_language)
TypeScript	ActionScript
TypeScript	C_Sharp_(programming_language)
TypeScript	JavaScript
TypeScript	Java_(programming_language)
VHDL	Pascal_(programming_language)
VHDL	Ada_(programming_language)
Vala_(programming_language)	Boo_(programming_language)
Vala_(programming_language)	C++
Vala_(programming_language)	C_(programming_language)
Vala_(programming_language)	C_Sharp_(programming_language)
Vala_(programming_language)	D_(programming_language)
Vala_(programming_language)	Java_(programming_language)
Verilog	Ada_(programming_language)
Verilog	C_(programming_language)
Verilog	Fortran
Verilog	Pascal_(programming_language)
Vilnius_BASIC	MSX_BASIC
Visual_Basic_(classic)	BASIC
Visual_Basic_.NET	Visual_Basic_(classic)
Visual_J_Sharp	Java_(programming_language)
Visual_J_Sharp	Visual_J++
WebAssembly	Asm.js
WebAssembly	Google_Native_Client
Whiley_(programming_language)	C_(programming_language)
Whiley_(programming_language)	Java_(programming_language)
Whiley_(programming_language)	Python_(programming_language)
Whiley_(programming_language)	Rust_(programming_language)
Wolfram_Language	Symbolic_Manipulation_Program
Wolfram_Language	Smalltalk
Wolfram_Language	Simula
Wolfram_Language	Schoonschip
Wolfram_Language	Prolog
Wolfram_Language	C_(programming_language)
Wolfram_Language	Lisp_(programming_language)
Wolfram_Language	Fortran
Wolfram_Language	C++
Wolfram_Language	APL_(programming_language)
Wolfram_Language	Pascal_(programming_language)
XSB	SB-Prolog
XSB	PSB-Prolog
XSB	Prolog
ZPL_(programming_language)	C_(programming_language)
Zig_(programming_language)	LLVM
Zig_(programming_language)	JavaScript
Zig_(programming_language)	Rust_(programming_language)
Zig_(programming_language)	C_(programming_language)
Zig_(programming_language)	C++
Zig_(programming_language)	Go_(programming_language)
Zig_(programming_language)	Wikipedia:Citation_needed
Zonnon	Oberon_(programming_language)
Zonnon	Pascal_(programming_language)

